text,lemma,type,pos,BM,domain
acapara,acaparar,uniword,VERB,None,None
bruscas,brusca,uniword,ADJ,None,None
rendirse,rendir él,uniword,VERB,None,None
apoyamos,apoyamos,uniword,VERB,None,None
descalabros,descalabro,uniword,NOUN,None,None
unida,unido,uniword,ADJ,None,None
abrumador,abrumador,uniword,ADJ,None,None
perdi,perdar,uniword,VERB,None,None
soportarlo,soportar él,uniword,VERB,None,None
suavice,suavice,uniword,PROPN,None,None
idioma,idioma,uniword,NOUN,None,None
opresión,opresión,uniword,NOUN,None,None
declive,declive,uniword,NOUN,None,None
puñeteras,puñetera,uniword,ADJ,None,None
atravesando,atravesar,uniword,VERB,None,None
lejanos,lejano,uniword,ADJ,None,None
burbuja,burbuja,uniword,NOUN,None,None
tormenta,tormenta,uniword,NOUN,None,None
oscuros;oscuro,oscuro,uniword,ADJ,None,None
brutal,brutal,uniword,ADJ,None,None
impactante,impactante,uniword,ADJ,None,None
oleada,oleada,uniword,NOUN,None,None
desorientada,desorientado,uniword,ADJ,None,None
conexión,conexión,uniword,NOUN,None,None
pérdidas;pérdida,pérdida,uniword,NOUN,None,None
progresado,progresado,uniword,ADJ,None,None
abrumada,abrumado,uniword,ADJ,None,None
vacío,vacío,uniword,ADJ,None,None
amor,amor,uniword,PROPN,None,None
insoportables,insoportable,uniword,ADJ,None,None
sobrellevar,sobrellevar,uniword,VERB,None,None
apagando;apagan,apagar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
débil,débil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
palabras,palabra,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
quefuésemosfuertes,quefuésemosfuert,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
final,final,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
toca;tocar,tocar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
seguridad,seguridad,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
no es la misma persona,no,multiword,ADV,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
notablemente,notablemente,uniword,ADV,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
extraño,extraño,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
hinchado,hinchado,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
fin,fin,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
veias,veias,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
calvario,calvario,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
mejorase,mejorar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
difícil,difícil,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
terror,terror,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
últimos,último,uniword,ADJ,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/proceso-00029677-n']),u.c.StringArray(elements=['Emociones » Otros'])
evoluciòn,evoluciòn,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte'])
sobreviviente,sobreviviente,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte'])
cola,cola,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/durar-02410175-v']),u.c.StringArray(elements=['Estar enfermo con cáncer » Muerte'])
adaptado,adaptado,uniword,ADJ,None,None
