text,lemma,type,pos,BM,domain
influir,influir,uniword,VERB,None,None
mojarse,mojar él,uniword,VERB,None,None
aclare,aclare,uniword,VERB,None,None
evolución,evolución,uniword,NOUN,None,None
amargando,amargar,uniword,VERB,None,None
extendía;extendió,extender,uniword,VERB,None,None
sacrificio,sacrificio,uniword,NOUN,None,None
maravilla,maravilla,uniword,NOUN,None,None
gravedad,gravedad,uniword,NOUN,None,None
sustituida,sustituido,uniword,ADJ,None,None
condición,condición,uniword,NOUN,None,None
escapar,escapar,uniword,VERB,None,None
adapté,adapter,uniword,VERB,None,None
remitiendo,remitir,uniword,VERB,None,None
francamente,francamente,uniword,ADV,None,None
tolerados,tolerado,uniword,ADJ,None,None
residuales,residual,uniword,ADJ,None,None
derrumbamos,derrumbamos,uniword,VERB,None,None
humanidad,humanidad,uniword,NOUN,None,None
invasiva,invasivo,uniword,ADJ,None,None
amoldan,amoldar,uniword,VERB,None,None
moverse,mover él,uniword,VERB,None,None
acudí,acudí,uniword,VERB,None,"u.c.StringArray(elements=['Personas involucradas', 'Otros » Hablar sobre el cáncer'])"
bicho,bicho,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
cruza,cruzar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
removía,remover,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
derrumbo,derrumbo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
souvenirs,souvenir,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
