MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	ayuda	ayudar, ayuda	7, 77, 22, 76	ayudar-02414710-v; ayudar-02547586-v	ayudar-00082081-v; ayuda-00654885-n		
Frame	ayuda	pedir ayuda no es un signo de debilidad, sino de coraje					
OneWordMV	ayudado	ayudar, ayuda	7, 77, 22, 74	ayudar-02414710-v; ayudar-02547586-v	ayudar-00082081-v; ayuda-00654885-n		
OneWordMV	ayudar	ayudar, ayuda	7, 77, 22, 75	ayudar-02414710-v; ayudar-02547586-v	ayudar-00082081-v; ayuda-00654885-n		
OneWordMV	baja	bajar la inflamación, bajar las defensas	23				
OneWordMV	bajar	bajar, tener bajas las defensas	23	bajar-01976841-v	bajar-00267855-v		
OneWordMV	bajón	bajón	3	bajar-01976841-v			
OneWordMV	barajar	barajar posibilidades	6, 51	barajar-01418667-v	contemplar-00703875-v		u.c.StringArray(elements=['considerar las varias posibilidades o alternativas antes de tomar una decisión.'])
OneWordMV	basar	tratamiento basado en	62	base-03387016-n	basar-00636888-v		
OneWordMV	batalla	batalla	6, 2	batalla-01170962-n	batalla-00788973-n		
OneWordMV	benigno		12		benigno-02594565-a	u.c.StringArray(elements=['afable, benévolo, piadoso.'])	
OneWordMV	bicho	bicho, vicho, Vicho, el bicho	11	bicho-01315980-n	cáncer-14239918-n		
OneWordMV	bloqueado	bloquear, bloqueado, bloquear(se)	3			Interceptar, obstruir o cerrar el paso.	Entorpecer, paralizar las facultades mentales de alguien
OneWordMV	bloquear	bloquear, bloqueado, bloquear(se)	3			Interceptar, obstruir o cerrar el paso.	Entorpecer, paralizar las facultades mentales de alguien
OneWordMV	bloques		6	bloque-02852523-n	grupo-07951464-n		u.c.StringArray(elements=['m. conjunto de cosas con alguna característica común.(rae)'])
OneWordMV	bola		12, 11	bola-02778669-n	tumor-14235200-n		
OneWordMV	borde						
OneWordMV	brusco	brusco	72	brusco-01145151-a	brusco-00640660-a		
OneWordMV	brutal		25	brutal-00269032-r	brutal-01263013-a		
OneWordMV	bucle	todo es incertidumbre y porcentajes de supervivencia, estadísticas, probabilidades... No es cuestión de optimismo, es cuestión de una situación real, por la que seguro pasan miles de personas y se ven atrapadas en un bucle"	9, 31, 29	bucle-05257737-n	desespero-07541923-n; recurrente-00592880-a		u.c.StringArray(elements=['objeto cuya forma recuerda la del bucle (rae).'])
OneWordMV	bulto		12	bulto-05104421-n	bulto-14234074-n		
OneWordMV	burbuja		36	burbuja-09229709-n	soledad-04622415-n		u.c.StringArray(elements=['habitáculo hermético y aislado del exterior.'])
OneWordMV	buscar	buscar información, buscar consuelo, buscar testimonios	53	buscar-00648224-v	buscar-02530167-v		
OneWordMV	ca.	cáncer	11		cáncer-14239918-n		
OneWordMV	caer	caer, caída	23	 caer-00342314-v	caer-00152887-v		
Frame	caer	caída libre sin control					
Frame_RoleMismatch	caer	se me cayó el mundo encima					
Frame_RoleMismatch	caer	se quieren caer a trozos					
OneWordMV	caída	caer, caída	23	 caer-00342314-v	caer-00152887-v		
OneWordMV	calvario		33	calvario-08796219-n	calvario-07287730-n	u.c.StringArray(elements=['camino señalado con cruces o altares, que se recorre rezando en cada uno de ellos en memoria de los pasos de jesús hacia el monte calvario. (rae)'])	
Frame	cambiar	(el cáncer) haya cambiado mi vida					
Frame	cambiar	la enfermedad les cambia el carácter					
Frame_RoleMismatch	cambiar	esta noticia nos ha cambiado la vida					
Frame	caminar	caminar sobre un campo de minas					
OneWordMV	camino		2	camino-04564698-n	proceso-05701363-n		
OneWordMV	camino	el camino por delante es incierto'	6, 52	incierto-02059381-a			
OneWordMV	campeón		71	campeón-09906704-n	paciente-10405694-n		
OneWordMV	candidato		71	candidato-09889691-n	candidato-09890749-n		
OneWordMV	capaz	el cerebro no es capaz de acumular'		capaz-00051045-a			
Frame_RoleMismatch	capaz	tu cerebro no es capaz					
OneWordMV	captar		83	captar-00588221-v			u.c.StringArray(elements=['tr. recibir, recoger sonidos, imágenes, ondas, emisiones radiodifundidas. (rae)'])
OneWordMV	carga		35	cargar-01483131-v	carga-05832745-n		
Frame	carga	librarse de esta carga tan pesada					
OneWordMV	cargo		3	cargar-01483131-v	cargar-00748084-v		
OneWordMV	casa	es la segunda vez que el cáncer entra en mi casa'	11	casa-02913152-n	cuerpo-05216365-n		
Frame	casa	La casa en la que vivíamos juntas se me hace grande					
OneWordMV	castigado		21, 23	castigar-02500144-v	da%C3%B1ado-00679147-a		
OneWordMV	cedido	ceder la piel', 	23	ceder-00435103-v			
OneWordMV	centrado		3	centrado-00330644-a			
OneWordMV	cepa		12	tronco-14942762-n		u.c.StringArray(elements=['parte del tronco de cualquier árbol o planta, que está dentro de tierra y unida a las raíces.'])	u.c.StringArray(elements=['grupo de organismos emparentados, como las bacterias, los hongos o los virus, cuya ascendencia común es conocida.'])
FormulaicExpression	CercaníaFísica	aquí me tienes					
FormulaicExpression	CercaníaFísica	ahí estás.					
FormulaicExpression	CercaníaFísica	aquí estamos					
FormulaicExpression	CercaníaFísica	aquí estoy para lo que quireas					
FormulaicExpression	CercaníaFísica	estamos a tu lado					
FormulaicExpression	CercaníaFísica	estamos a vuestro lado					
FormulaicExpression	CercaníaFísica	estar a su lado					
OneWordMV	cerrar	cerrar una herida	6	cerrar-01345109-v			
OneWordMV	chillar	chillar el pecho	23	chillar-00913065-v	sibilancia-00836407-n		
OneWordMV	choque		3	choque-00126236-n	choquear-01783022-v		
OneWordMV	círculo		75	c%C3%ADrculo-13873502-n	c%C3%ADrculo-08240169-n		
OneWordMV	claro	estar o tener algo claro	6, 51				
OneWordMV	claro	pese a que tengo claros los pasos que se vana realizar, no entiendo con claridad la situación'	53	claro-00269989-a	comprensible-00532892-a		
