MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	salir		26	salir-00528990-v	salir-00358431-v		
OneWordMV	salir		5	salir-00528990-v	salir-00423702-v	u.c.StringArray(elements=['intr. pasar de dentro afuera. (rae)'])	
FormulaicExpression	Salir	Espero que todo salga/haya salido bien					
OneWordMV	salvar		22	salvar-00064095-v			
OneWordMV	saturar(se)		3	saturación-13925188-n			
OneWordMV	se ve truncada			truncar-00317241-v			
OneWordMV	se vino bastante abajo			venirse+abajo-01972570-v	venirse+abajo-02041877-v	u.c.StringArray(elements=['dicho especialmente de un recinto: parecer que se derrumba a causa del estruendo que en él se produce.'])	
OneWordMV	seguido	seguir, seguido	22	seguir-01991931-v	sobrevivir-02618149-v		
OneWordMV	seguir	seguir, seguido	22	seguir-01991931-v	sobrevivir-02618149-v		
OneWordMV	seguridad	seguridad, seguro	3	seguridad-04856308-n	seguridad-05697363-n		
OneWordMV	seguro	seguridad, seguro	3	seguridad-04856308-n	seguridad-05697363-n		
OneWordMV	señal						
OneWordMV	servir		77	servir-02540670-v	servir-01184453-v		
OneWordMV	signo						
OneWordMV	síntoma	no he sufrido ningún síntoma que haya cambiado mi vida'					
OneWordMV	sitio		82	sitio-05074774-n	ri%C3%B1%C3%B3n-05332802-n		
OneWordMV	situación		2, 21, 5,3, 53, 23, 31 	situaci%C3%B3n-05074774-n	estado-13927383-n		
OneWordMV	sobrellevar		6	soportar-01217043-v	soportar-00668099-v		
OneWordMV	sobreviviente	sobrevivir, sobreviviente	71	superviviente-01324142-n	sobreviviente-00928874-a		
OneWordMV	sobrevivir	sobrevivir, sobreviviente	71	superviviente-01324142-n	sobreviviente-00928874-a		
OneWordMV	soltar		5, 53	soltar-00269682-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/soltar-00419375-v	soltar-00941855-v		
OneWordMV	solución		83	soluci%C3%B3n-00153809-n			
OneWordMV	someter(se)		6	someter-00302130-v	someterse-01116447-v		
OneWordMV	sonar		3	sonar-02135048-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/sonar-02172888-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/sonar-02176268-v			u.c.StringArray(elements=['dicho de una expresión: producir determinada impresión en el ánimo de quien la oye.'])
OneWordMV	soportable	soportar, soportable, soporte	21, 7	soportar-01217043-v	soportar-00668099-v		
OneWordMV	soportar	soportar, soportable, soporte	21, 6	soportar-01217043-v	soportar-00668099-v		
Hyperbole	Soportar	todo lo soporta					
OneWordMV	soporte	soportar, soportable, soporte	21, 8	soportar-01217043-v	soportar-00668099-v		
OneWordMV	sorteo		la vida	sorteo-00162236-n			
OneWordMV	sospecha	sospechar, sospechoso, célula sospechosa	11	sospecha-05698791-n			
OneWordMV	sospechar	sospechar, sospechoso, célula sospechosa	11	sospecha-05698791-n			
Frame_RoleMismatch	sospechoso	célula sospechosa					
OneWordMV	sostén		77	sost%C3%A9n-02892767-n	sost%C3%A9n-05693919-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/sost%C3%A9n+principal-10432957-n		
OneWordMV	souvenirs		23	souvenir-03610270-n	secuela-07294699-n		
OneWordMV	suave	suave, suavizar	6	suave-02236842-a	suave-01508719-a		
OneWordMV	suavizar	suave, suavizar	6	suave-02236842-a	suave-01508719-a		
OneWordMV	subida	subir, subida, subir la dosis, subir las defensas	23	subir-01968569-v	subir-00156601-v		
OneWordMV	subir	subir, subida, subir la dosis, subir las defensas	23	subir-01968569-v	subir-00156601-v		
OneWordMV	subir	subir el tumor al cerebro	12	subir-01968569-v	metástasis-13514314-n		
OneWordMV	sueño		31	sue%C3%B1o-00858188-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/sue%C3%B1o-05768553-n	sue%C3%B1o-07484547-n		
OneWordMV	suerte						
OneWordMV	sufrir		33	sufrir-00065639-v	sufrir-01794668-v		
OneWordMV	sumar	sumar, suma	77	sumar-00640828-v	apoyar-02556126-v		
OneWordMV	sumar	sumar, suma	77	sumar-00640828-v	apoyar-02556126-v		
Frame	sumar	Deberíamos unirnos y sumar.LLevo					
OneWordMV	superación	superación, superar, superado	22	superar-01108148-v	curarse-00270561-v		
OneWordMV	superar	superación, superar, superado	22	superar-01108148-v	curarse-00270561-v		
OneWordMV	suspender		6				
OneWordMV	sustituir		61, 82	sustituir-02257767-v			
OneWordMV	susto		21	susto-07519253-n			u.c.StringArray(elements=['m. preocupación por alguna adversidad o daño que se teme. (rae)'])
OneWordMV	tema		11	tema-05814291-n	enfermedad-14055408-n		
OneWordMV	temblar		32				
OneWordMV	temor						
OneWordMV	tener		11	tener-01216670-v	tener-00065370-v		
OneWordMV	tener		3, 2	tener-01216670-v	tener-02203362-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/tener-02204692-v		
OneWordMV	tensión	tensión, tenso	3, 33, 35	tensión-14544335-n	tensión-14375890-n		
OneWordMV	tenso	tensión, tenso	3, 33, 36	tensión-14544335-n	tensión-14375890-n		
OneWordMV	terror		29	terror-07519253-n			
OneWordMV	tocar	tocar, tocado	33, 3, 21, 23	tocar-01205696-v	tocar-00137313-v		
OneWordMV	tocar	tocar	2	tocar-01072949-v			
OneWordMV	tolerar						
OneWordMV	tomar	tomar esperanza					
OneWordMV	tontería		23	tonter%C3%ADa-00075790-n	trivial-01280908-a		
OneWordMV	tormenta	tormenta, atormentar	26, 3	tormenta-11501737-n	tormenta-07182614-n		
OneWordMV	tornar(se)	tornar de color la piel	23	girar-00100410-v			
OneWordMV	tortura		33	tortura-14333433-n	tortura-07496755-n		
OneWordMV	trabajar	trabajar, trabajo	85, 81	trabajar-02410855-v	informar-00742320-v		
OneWordMV	traducir	no beber tiene un precio en la vida social'	21	traducir-00959827-v	implicar-00930599-v		
OneWordMV	traer			traer-01432601-v	traer+al+mundo-00056930-v		
OneWordMV	trago		3	trago-07881800-n	trago-14409880-n		
OneWordMV	tranquilizar	los artículos científicos me tranquilizan					
OneWordMV	transmitir		34, 3	transmitir-00743082-v	transmitir-00740577-v		
OneWordMV	trégua	dar tregua	29, 72	tregua-13970912-n			
OneWordMV	tropezar		5	tropezar-01901133-v, tropezar-02248465-v			
OneWordMV	turbio		38	turbio-00422620-a	dudoso-00337404-a		
OneWordMV	unido	unir, unir(se), unido, unión	3, 78	unirse-00367685-v	unirse-02434976-v		
OneWordMV	unión	unir, unir(se), unido, unión	3, 79	unirse-00367685-v	unirse-02434976-v		
OneWordMV	unir	unir, unir(se), unido, unión	3, 77	unirse-00367685-v	unirse-02434976-v		
Frame	unir	Deberíamos unirnos y sumar.LLevo					
OneWordMV	vacaciones		6	vacaciones-15137890-n			u.c.StringArray(elements=['interrupción o reposo farmacológico'])
OneWordMV	vaciar	vaciar, vacío	61	vaciar-00448680-v			
OneWordMV	vacío	vaciar, vacío	61	vaciar-00448680-v			
Frame	vacío	ir rellenando el vacío que me ha dejado ella en mi corazón					
OneWordMV	Valer	cada minuto de vía vale oro					
OneWordMV	valiente						
OneWordMV	valioso		76, 77	valioso-02500884-a	valioso-02587738-a		
OneWordMV	valorar						
OneWordMV	vencer		22	vencer-01100145-v	curar-00081725-v		
OneWordMV	venir			venir-01849221-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venir-02005948-v	venir-00341917-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venir-02625339-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/venir-02743565-v		
OneWordMV	ver		2, 83	ver-02129289-v	ver-00591115-v		
OneWordMV	ver			ver-02129289-v	ver-01156568-v		
OneWordMV	vertiginoso		5	vertiginoso-02544048-a	r%C3%A1pido-00979697-a		
OneWordMV	viable		51	vía-03671272-n	viable-01822563-a	u.c.StringArray(elements=['dicho de un camino o de una vía: por donde se puede transitar.'])	
OneWordMV	vida		21	vida-00006269-n	vida-00415676-n	u.c.StringArray(elements=['fuerza o actividad esencial mediante la que obra el ser que la posee.'])	u.c.StringArray(elements=['manera de vivir.'])
Frame	vida	la vida tiene que continuar con la minima normalidad.					
Hyperbole	Vida	todo lo bueno que te ofrece la vida					
OneWordMV	visitar						
OneWordMV	vivir		2	vivir-02614181-v	vivir-02614970-v		
Frame_RoleMismatch	vivir en	Ella seguirá viviendo en ti,					
OneWordMV	volver		2, 11, 	volver-02004874-v	recaer-00268165-v		
Frame_RoleMismatch	volver loco	(el cáncer) me está volviendo un poco loco					
OneWordMV		sacar el tumor	6, 22 	sacar-01214597-v	curar-00081725-v		
ExplicitMetaphor		como si te estuviesen clavando miles de cristales					
ExplicitMetaphor		me encuentro como que ya fuera una persona mayor a la que no le queda mucho					
ExplicitMetaphor		me siento lenta y como en una burbuja de irrealidad					
ExplicitMetaphor		Hablele a su sillón como si estuviese sentada allí mismo					
ExplicitMetaphor		Vivo como si mañana no fuera a estar					
ExplicitMetaphor		lo veo como una señal					
ExplicitMetaphor		como un bollo					
ExplicitMetaphor		se calló como una costra					
ExplicitMetaphor		como todos los hombres					
ExplicitMetaphor		como obra del universo					
ExplicitMetaphor		como subida en una montaña rusa constante					
ExplicitMetaphor		Sé optimista y transmiteselo a ella pues en muchas ocasionas es la mejor de las medicinas.					
ExplicitMetaphor		me ha sentado como un tiro					
ExplicitMetaphor		les importamos como personas y no números					
ExplicitMetaphor		cada día es una bendición.					
ExplicitMetaphor		cada paciente/persona es un mundo					
ExplicitMetaphor		Eres una verdadera CAMPEONA					
ExplicitMetaphor		Es mi gran caballode batalla					
ExplicitMetaphor		es todo un caos					
ExplicitMetaphor		fue un mazazo					
ExplicitMetaphor		Fue un regalo					
ExplicitMetaphor		ha sido un golpe devastador					
ExplicitMetaphor		Ha sido un largo viaje.					
ExplicitMetaphor		la cara del medio era de película de terror					
ExplicitMetaphor		la esperanza de unos, es la esperanza de todos					
ExplicitMetaphor		las metastasis no siempre son muerte sin remedio					
ExplicitMetaphor		metastasis no es igual a muerte inminente					
ExplicitMetaphor		Mi única medicina, por el momento, es la fe,					
ExplicitMetaphor		no es un dolor es algo, tampoco es un cuerpo extraño es una sensación					
ExplicitMetaphor		soy la hija coraje de mi made					
ExplicitMetaphor		una buena alimentación también puede ser una buena medicina					
ExplicitMetaphor		vida siempre es un continuo cambio					
ExplicitMetaphor		ya es un angelito					
Hyperbole		todo lo bueno que te ofrece la vida					
Hyperbole		todo lo que te rodea					
Hyperbole		todo lo soporta					
Hyperbole		nunca he llorado como lloré					
Hyperbole		quedara nada de nada					
Hyperbole		no quedaba nada					
Hyperbole		no pierdes nada					
Frame		han jugado siempre a tu favor.					
Frame		llevo una vida lo mas parecida a la normal					
Frame		siempre hay que mirar hacia delante					
